,label
533,2
534,2
535,2
536,2
537,2
538,2
539,2
540,2
541,0
542,0
543,0
544,0
545,0
546,0
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,3
559,3
560,3
561,3
562,3
563,3
564,3
565,3
566,3
567,3
568,2
569,2
570,2
571,2
572,2
573,2
574,2
575,2
576,2
577,2
578,2
579,2
580,2
581,2
582,2
583,2
584,2
585,2
586,2
587,2
588,2
589,1
590,1
591,3
592,3
593,3
594,3
595,3
596,3
597,3
598,2
599,2
600,2
601,2
602,2
603,3
604,3
605,3
606,2
607,3
608,2
609,3
610,2
611,2
612,2
613,2
614,2
615,2
616,3
617,3
618,1
619,2
620,0
621,3
622,2
623,2
624,2
625,3
626,3
627,3
628,3
629,2
630,3
631,2
632,2
633,3
634,3
635,2
636,1
637,3
638,2
639,2
640,3
641,2
642,3
643,3
644,2
645,2
646,3
647,3
648,3
649,3
650,3
651,3
652,3
653,2
654,2
655,0
656,3
657,3
658,2
659,2
660,2
661,3
662,2
663,0
664,3
665,3
666,2
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,3
676,3
677,3
678,2
679,2
680,2
681,3
682,3
683,3
684,2
685,2
686,0
687,3
688,3
689,2
690,2
691,2
692,2
693,0
694,1
695,3
696,0
697,0
698,3
699,2
700,2
701,0
702,0
703,2
704,3
705,2
706,2
707,2
708,0
709,0
710,3
711,2
712,1
713,1
714,1
715,3
716,3
717,2
718,2
719,2
720,1
721,1
722,1
723,2
724,2
725,0
726,2
727,0
728,3
729,2
730,2
731,0
732,0
733,2
734,2
735,2
736,0
737,0
738,0
739,0
740,0
741,0
742,3
743,3
744,3
745,3
746,3
747,3
748,3
749,3
750,2
751,2
752,2
753,2
754,2
755,2
756,1
757,1
758,2
759,2
760,1
761,2
762,0
763,3
764,3
765,3
766,3
767,3
768,3
769,3
770,3
771,3
772,2
773,1
774,3
775,2
776,2
777,2
778,2
779,2
780,2
781,2
782,1
783,2
784,0
785,0
786,0
787,1
788,2
789,1
790,1
791,1
792,2
793,0
794,2
795,1
796,3
797,3
798,1
799,2
800,0
801,0
802,0
803,0
804,0
805,3
806,0
807,0
808,1
809,1
810,1
811,1
812,1
813,3
814,3
815,3
816,2
817,2
818,2
819,0
820,0
821,0
822,0
823,0
824,0
825,1
826,1
827,0
828,0
829,1
830,1
831,2
832,3
833,2
834,1
835,1
836,1
837,2
838,2
839,2
840,2
841,2
842,2
843,0
844,0
845,0
846,0
847,1
848,1
849,2
850,2
851,2
852,2
853,0
854,0
855,2
856,2
857,3
858,0
859,1
860,1
861,2
862,2
863,1
864,1
865,3
866,0
867,2
868,0
869,2
870,3
871,0
872,0
873,0
874,1
875,1
876,0
877,1
878,1
879,2
880,2
881,2
882,2
883,2
884,0
885,0
886,0
887,1
888,0
889,1
890,1
891,1
892,1
893,0
894,0
895,0
896,1
897,1
898,1
899,1
900,3
901,3
902,3
903,2
904,2
905,2
906,2
907,2
908,2
909,2
910,2
911,2
912,2
913,2
914,2
915,2
916,0
917,0
918,1
919,2
920,0
921,0
922,0
923,1
924,2
925,2
926,2
927,2
928,0
929,1
930,1
931,1
932,2
933,2
934,0
935,1
936,1
937,1
938,2
939,0
940,1
941,1
942,2
943,2
944,0
945,0
946,0
947,0
948,0
949,1
950,1
951,1
952,2
953,2
954,2
955,2
956,2
957,1
958,1
959,3
960,0
961,0
962,1
963,1
964,0
965,0
966,1
967,1
968,0
969,0
970,1
971,1
972,1
973,1
974,1
975,1
976,1
977,3
978,3
979,3
980,2
981,2
982,2
983,2
984,2
985,1
986,1
987,1
988,1
989,2
990,1
991,1
992,1
993,1
994,1
995,0
996,0
997,1
998,1
999,1
1000,1
1001,3
1002,3
1003,2
1004,2
1005,2
1006,2
1007,0
1008,0
1009,0
1010,0
1011,1
1012,1
1013,2
1014,2
1015,2
1016,0
1017,0
1018,1
1019,2
1020,0
1021,1
1022,1
1023,3
1024,2
1025,2
1026,0
1027,0
1028,1
1029,1
1030,3
1031,2
1032,2
1033,2
1034,0
1035,0
1036,1
1037,3
1038,3
1039,0
1040,1
1041,3
1042,3
1043,3
1044,2
1045,2
1046,2
1047,2
1048,1
1049,1
1050,3
1051,3
1052,2
1053,1
1054,1
1055,1
1056,2
1057,1
1058,3
1059,3
1060,0
1061,0
1062,1
1063,1
1064,1
1065,1
1066,1
1067,3
1068,3
1069,2
1070,2
1071,2
1072,0
1073,1
1074,3
1075,2
1076,2
1077,2
1078,2
1079,2
1080,2
1081,1
1082,3
1083,2
1084,2
1085,1
1086,1
1087,1
1088,3
1089,3
1090,0
1091,0
1092,1
1093,3
1094,2
1095,2
1096,2
1097,1
1098,1
1099,1
1100,1
1101,1
1102,1
1103,1
1104,1
1105,1
1106,1
1107,1
1108,1
1109,3
1110,3
1111,3
1112,0
1113,2
1114,2
1115,2
1116,0
1117,1
1118,3
1119,3
1120,3
1121,2
1122,2
1123,2
1124,2
1125,2
1126,1
1127,1
1128,1
1129,1
1130,2
1131,0
1132,1
1133,1
1134,3
1135,0
1136,0
1137,0
1138,1
1139,1
1140,3
1141,2
1142,2
1143,3
1144,2
1145,2
1146,1
1147,2
1148,2
1149,3
1150,1
1151,0
1152,1
1153,1
1154,3
1155,1
1156,1
1157,1
1158,1
1159,3
1160,1
1161,2
1162,2
1163,3
1164,3
1165,2
1166,1
1167,1
1168,1
1169,1
1170,3
1171,2
1172,2
1173,1
1174,1
1175,1
1176,1
1177,2
1178,2
1179,0
1180,0
1181,1
1182,1
1183,3
1184,3
1185,3
1186,2
1187,2
1188,2
1189,1
1190,2
1191,2
1192,3
1193,3
1194,2
1195,0
1196,0
1197,1
1198,1
1199,1
1200,1
1201,1
1202,3
1203,0
1204,3
1205,3
1206,2
1207,2
1208,2
1209,2
1210,3
1211,2
1212,2
1213,3
1214,2
1215,2
1216,0
1217,3
1218,2
1219,0
1220,0
1221,0
1222,1
1223,3
1224,3
1225,3
1226,3
1227,3
1228,0
1229,0
1230,0
1231,3
1232,2
1233,0
1234,1
1235,1
1236,1
1237,1
1238,3
1239,2
1240,2
1241,1
1242,1
1243,1
1244,3
1245,0
1246,0
1247,2
1248,0
1249,0
1250,3
1251,2
1252,2
1253,2
1254,2
1255,3
1256,3
1257,0
1258,0
1259,1
1260,2
1261,0
1262,2
1263,2
1264,0
1265,3
1266,3
1267,1
1268,2
1269,1
1270,1
1271,1
1272,2
1273,2
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,0
1282,0
1283,0
1284,3
1285,3
1286,3
1287,3
1288,2
1289,2
1290,0
1291,1
1292,1
1293,1
1294,2
1295,2
1296,2
1297,2
1298,0
1299,2
1300,3
1301,3
1302,3
1303,3
1304,3
1305,3
1306,3
1307,3
1308,3
1309,3
1310,3
1311,2
1312,2
1313,2
1314,1
1315,2
1316,2
1317,1
1318,1
1319,3
1320,3
1321,2
1322,2
1323,0
1324,1
1325,2
1326,1
1327,1
1328,3
1329,2
1330,2
1331,0
1332,0
1333,0
1334,2
1335,2
1336,2
1337,0
1338,0
1339,1
1340,1
1341,2
1342,0
1343,0
1344,1
1345,2
1346,2
1347,2
1348,1
1349,1
1350,3
1351,2
1352,2
1353,0
1354,1
1355,2
1356,1
1357,1
1358,2
1359,2
1360,2
1361,2
1362,0
1363,1
1364,1
1365,1
1366,1
1367,1
1368,2
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,1
1378,3
1379,2
1380,2
1381,1
1382,2
1383,2
1384,2
1385,0
1386,0
1387,1
1388,1
1389,1
1390,1
1391,2
1392,2
1393,2
1394,2
1395,0
1396,0
1397,0
1398,0
1399,1
1400,2
1401,2
1402,0
1403,0
1404,0
1405,1
1406,2
1407,2
1408,0
1409,0
1410,0
1411,0
1412,1
1413,1
1414,2
1415,0
1416,0
1417,0
1418,0
1419,1
1420,1
1421,1
1422,3
1423,2
1424,2
1425,2
1426,0
1427,0
1428,0
1429,0
1430,1
1431,1
1432,1
1433,2
1434,2
1435,2
1436,0
1437,1
1438,2
1439,2
1440,2
1441,0
1442,2
1443,0
1444,0
1445,1
1446,3
1447,2
1448,0
1449,0
1450,1
1451,1
1452,1
1453,1
1454,1
1455,1
1456,1
1457,2
1458,0
1459,1
1460,1
1461,1
1462,1
1463,1
1464,1
1465,3
1466,0
1467,0
1468,0
1469,1
1470,1
1471,2
1472,2
1473,2
1474,2
1475,2
1476,2
1477,2
1478,2
1479,2
1480,0
1481,0
1482,0
1483,0
1484,3
1485,3
1486,1
1487,2
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,0
1496,0
1497,0
1498,0
1499,0
1500,1
1501,1
1502,1
1503,1
1504,1
1505,1
1506,1
1507,1
1508,1
1509,1
1510,1
1511,1
1512,1
1513,1
1514,1
1515,1
1516,1
1517,1
1518,3
1519,3
1520,3
1521,3
1522,3
1523,3
1524,3
1525,2
1526,2
1527,2
1528,2
1529,2
1530,2
1531,2
1532,2
1533,2
1534,0
1535,1
1536,1
1537,0
1538,0
1539,1
1540,1
1541,1
1542,1
1543,1
1544,3
1545,3
1546,3
1547,3
1548,3
1549,3
1550,3
1551,2
1552,2
1553,2
1554,2
1555,2
1556,2
1557,2
1558,1
1559,1
1560,1
1561,1
1562,3
1563,3
1564,3
1565,2
1566,2
1567,2
1568,2
1569,2
1570,0
1571,0
1572,0
1573,1
1574,2
1575,2
1576,2
1577,2
1578,2
1579,0
1580,0
1581,0
1582,1
1583,1
1584,1
1585,1
1586,3
1587,3
1588,2
1589,2
1590,0
1591,1
1592,3
1593,0
1594,0
1595,1
1596,1
1597,1
1598,3
1599,3
1600,3
1601,3
1602,2
1603,0
1604,0
1605,1
1606,1
1607,2
1608,0
1609,0
1610,0
1611,0
1612,0
1613,1
1614,1
1615,1
1616,1
1617,3
1618,3
1619,3
1620,3
1621,3
1622,0
1623,1
1624,2
1625,2
1626,3
1627,2
1628,0
1629,0
1630,0
1631,0
1632,1
1633,1
1634,3
1635,3
1636,2
1637,0
1638,0
1639,0
1640,1
1641,1
1642,1
1643,1
1644,2
1645,0
1646,0
1647,2
1648,0
1649,0
1650,0
1651,0
1652,0
1653,0
1654,0
1655,0
1656,0
1657,1
1658,1
1659,1
1660,1
1661,1
1662,3
1663,3
1664,3
1665,0
1666,0
1667,0
1668,0
1669,1
1670,1
1671,1
1672,1
1673,1
1674,0
1675,1
1676,1
1677,3
1678,3
1679,3
1680,3
1681,3
1682,0
1683,0
1684,0
1685,1
1686,1
1687,1
1688,2
1689,2
1690,2
1691,0
1692,1
1693,1
1694,3
1695,3
1696,3
1697,2
1698,2
1699,2
1700,2
1701,2
1702,0
1703,0
1704,0
1705,1
1706,1
1707,3
1708,3
1709,3
1710,3
1711,3
1712,2
1713,2
1714,0
1715,1
1716,3
1717,3
1718,2
1719,1
1720,0
1721,0
1722,0
1723,0
1724,0
1725,1
1726,1
1727,1
1728,2
1729,2
1730,0
1731,3
1732,2
1733,0
1734,1
1735,3
1736,3
1737,2
1738,0
1739,3
1740,3
1741,2
1742,0
1743,1
1744,1
1745,1
1746,2
1747,2
1748,2
1749,0
1750,1
1751,1
1752,1
1753,1
1754,3
1755,3
1756,2
1757,1
1758,3
1759,3
1760,3
1761,3
1762,3
1763,3
1764,3
1765,3
1766,3
1767,3
1768,3
1769,0
1770,1
1771,1
1772,1
1773,1
1774,3
1775,0
1776,0
1777,0
1778,3
1779,3
1780,2
1781,2
1782,2
1783,2
1784,0
1785,1
1786,1
1787,1
1788,3
1789,2
1790,0
1791,1
1792,3
1793,3
1794,2
1795,2
1796,2
1797,0
1798,2
1799,2
1800,0
1801,1
1802,1
1803,1
1804,3
1805,2
1806,0
1807,3
1808,3
1809,2
1810,2
1811,2
1812,2
1813,0
1814,1
1815,0
1816,0
1817,1
1818,1
1819,1
1820,3
1821,3
1822,3
1823,2
1824,0
1825,0
1826,1
1827,1
1828,3
1829,2
1830,2
1831,1
1832,3
1833,3
1834,3
1835,2
1836,1
1837,1
1838,1
1839,1
1840,1
1841,1
1842,1
1843,1
1844,1
1845,2
1846,2
1847,2
1848,0
1849,0
1850,0
1851,1
1852,1
1853,1
1854,1
1855,1
1856,1
1857,1
1858,3
1859,2
1860,0
1861,1
1862,1
1863,2
1864,2
1865,2
1866,2
1867,2
1868,1
1869,1
1870,3
1871,2
1872,0
1873,0
1874,0
1875,0
1876,0
1877,1
1878,1
1879,1
1880,3
1881,3
1882,3
1883,2
1884,0
1885,3
1886,3
1887,3
1888,0
1889,0
1890,1
1891,1
1892,1
1893,1
1894,3
1895,3
1896,3
1897,3
1898,2
1899,1
1900,1
1901,1
1902,1
1903,1
1904,1
1905,1
1906,1
1907,3
1908,3
1909,0
1910,0
1911,0
1912,0
1913,1
1914,3
1915,2
1916,0
1917,0
1918,1
1919,1
1920,1
1921,2
1922,2
1923,2
1924,2
1925,2
1926,2
1927,0
1928,0
1929,1
1930,1
1931,3
1932,3
1933,3
1934,2
1935,2
1936,2
1937,2
1938,2
1939,1
1940,2
1941,3
1942,0
1943,0
1944,0
1945,1
1946,1
1947,1
1948,3
1949,3
1950,0
1951,1
1952,2
1953,0
1954,0
1955,0
1956,1
1957,1
1958,1
1959,1
1960,1
1961,3
1962,3
1963,2
1964,2
1965,2
1966,0
1967,1
1968,1
1969,1
1970,1
1971,1
1972,1
1973,2
1974,2
1975,2
1976,2
1977,2
1978,0
1979,0
1980,3
1981,0
1982,0
1983,0
1984,0
1985,1
1986,1
1987,1
1988,3
1989,3
1990,3
1991,2
1992,2
1993,0
1994,0
1995,1
1996,3
1997,2
1998,2
1999,0
2000,0
2001,0
2002,1
2003,1
2004,1
2005,1
2006,3
2007,3
2008,3
2009,3
2010,2
2011,2
2012,0
2013,3
2014,3
2015,3
2016,0
2017,3
2018,3
2019,2
2020,1
2021,0
2022,0
2023,0
2024,3
2025,3
2026,2
2027,2
2028,0
2029,0
2030,1
2031,1
2032,3
2033,0
2034,0
2035,0
2036,0
2037,0
2038,1
2039,3
2040,3
2041,3
2042,2
2043,1
2044,1
2045,1
2046,1
2047,2
2048,2
2049,2
2050,2
2051,0
2052,0
2053,0
2054,0
2055,3
2056,3
2057,3
2058,3
2059,2
2060,2
2061,2
2062,0
2063,1
2064,1
2065,3
2066,2
2067,1
2068,1
2069,0
2070,0
2071,1
2072,1
2073,1
2074,2
2075,2
2076,1
2077,1
2078,2
2079,0
2080,1
2081,1
2082,1
2083,0
2084,0
2085,3
2086,2
2087,1
2088,1
2089,1
2090,1
2091,1
2092,0
2093,2
2094,1
2095,1
2096,3
2097,1
2098,1
2099,1
2100,1
2101,3
2102,3
2103,2
2104,2
2105,2
2106,2
2107,2
2108,0
2109,0
2110,0
2111,0
2112,0
2113,1
2114,3
2115,1
2116,0
2117,0
2118,1
2119,3
2120,3
2121,3
2122,3
2123,2
2124,2
2125,3
2126,3
2127,3
2128,3
2129,2
2130,2
2131,2
2132,1
2133,1
2134,1
2135,3
2136,3
2137,2
2138,2
2139,2
2140,2
2141,0
2142,2
2143,2
2144,2
2145,0
2146,0
2147,1
2148,3
2149,3
2150,2
2151,2
2152,1
2153,1
2154,1
2155,1
2156,3
2157,3
2158,3
2159,3
2160,3
2161,3
2162,1
2163,0
2164,0
2165,0
2166,2
2167,2
2168,0
2169,0
2170,0
2171,0
2172,1
2173,1
2174,3
2175,3
2176,2
2177,2
2178,2
2179,3
2180,3
2181,3
2182,2
2183,0
2184,0
2185,0
2186,1
2187,3
2188,3
2189,3
2190,3
2191,3
2192,2
2193,2
2194,3
2195,2
2196,0
2197,0
2198,0
2199,0
2200,0
2201,1
2202,1
2203,3
2204,3
2205,3
2206,3
2207,3
2208,2
2209,2
2210,2
2211,1
2212,1
2213,1
2214,3
2215,3
2216,3
2217,2
2218,0
2219,0
2220,0
2221,1
2222,1
2223,3
2224,3
2225,3
2226,3
2227,3
2228,2
2229,2
2230,0
2231,0
2232,3
2233,3
2234,3
2235,3
2236,3
2237,3
2238,2
2239,2
2240,2
2241,2
2242,0
2243,3
2244,3
2245,0
2246,0
2247,0
2248,0
2249,3
2250,3
2251,3
2252,3
2253,3
2254,3
2255,2
2256,3
2257,1
2258,0
2259,3
2260,2
2261,2
2262,0
2263,0
2264,0
2265,0
2266,0
2267,0
2268,1
2269,1
2270,3
2271,1
2272,0
2273,3
2274,3
2275,3
2276,3
2277,2
2278,2
2279,3
2280,3
2281,3
2282,2
2283,0
2284,0
2285,0
2286,0
2287,1
2288,1
2289,3
2290,3
2291,3
2292,3
2293,3
2294,3
2295,3
2296,2
2297,0
2298,3
2299,3
2300,2
2301,2
2302,2
2303,0
2304,2
2305,0
2306,0
2307,0
2308,0
2309,1
2310,1
2311,1
2312,3
2313,3
2314,3
2315,3
2316,2
2317,0
2318,1
2319,0
2320,0
2321,0
2322,0
2323,0
2324,1
2325,1
2326,1
2327,3
2328,2
2329,2
2330,3
2331,2
2332,1
2333,2
2334,2
2335,2
2336,2
2337,1
2338,3
2339,2
2340,2
2341,2
2342,2
2343,0
2344,0
2345,0
2346,0
2347,0
2348,1
2349,1
2350,1
2351,3
2352,3
2353,3
2354,3
2355,3
2356,3
2357,2
2358,2
2359,0
2360,0
2361,0
2362,0
2363,0
2364,0
2365,0
2366,1
2367,3
2368,3
2369,3
2370,3
2371,3
2372,3
2373,3
2374,3
2375,3
2376,3
2377,3
2378,3
2379,3
2380,2
2381,2
2382,2
2383,2
2384,2
2385,2
2386,2
2387,1
2388,2
2389,2
2390,0
2391,0
2392,0
2393,0
2394,1
2395,1
2396,3
2397,3
2398,3
2399,3
2400,3
2401,3
2402,2
2403,2
2404,2
2405,2
2406,2
2407,2
2408,2
2409,2
2410,3
2411,0
2412,0
2413,0
2414,0
2415,0
2416,1
2417,3
2418,3
2419,3
2420,3
2421,3
2422,2
2423,0
2424,0
2425,0
2426,3
2427,3
2428,3
2429,3
2430,2
2431,2
2432,2
2433,0
2434,0
2435,1
2436,3
2437,3
2438,3
2439,3
2440,3
2441,2
2442,2
2443,3
2444,3
2445,1
2446,3
2447,2
2448,0
2449,0
2450,0
2451,0
2452,1
2453,3
2454,3
2455,3
2456,3
2457,3
2458,2
2459,2
2460,2
2461,2
2462,0
2463,2
2464,2
2465,2
2466,2
2467,2
2468,2
2469,2
2470,0
2471,0
2472,1
2473,1
2474,2
2475,0
2476,2
2477,2
2478,0
2479,2
2480,2
2481,2
2482,2
2483,2
2484,3
2485,2
2486,1
2487,3
2488,3
2489,3
2490,2
2491,2
2492,0
2493,0
2494,1
2495,0
2496,0
2497,1
2498,3
2499,2
2500,2
2501,2
2502,2
2503,0
2504,0
2505,0
2506,3
2507,3
2508,3
2509,2
2510,1
2511,2
2512,2
2513,2
2514,2
2515,2
2516,2
2517,1
2518,1
2519,2
2520,2
2521,2
2522,0
2523,0
2524,0
2525,0
2526,1
2527,1
2528,1
2529,3
2530,3
2531,2
2532,2
2533,0
2534,1
2535,1
2536,1
2537,2
2538,2
2539,0
2540,0
2541,0
2542,1
2543,1
2544,3
2545,3
2546,2
2547,2
2548,2
2549,0
2550,0
2551,2
2552,2
2553,1
2554,1
2555,2
2556,2
2557,2
2558,2
2559,0
2560,0
2561,0
2562,0
2563,1
2564,1
2565,1
2566,1
2567,3
2568,3
2569,3
2570,3
2571,2
2572,2
2573,2
2574,2
2575,1
2576,1
2577,2
2578,2
2579,0
2580,0
2581,3
2582,2
2583,2
2584,0
2585,0
2586,0
2587,1
2588,0
2589,0
2590,0
2591,0
2592,1
2593,3
2594,3
2595,3
2596,2
2597,2
2598,0
2599,0
2600,1
2601,1
2602,2
2603,0
2604,1
2605,2
2606,2
2607,0
2608,0
2609,0
2610,0
2611,0
2612,1
2613,1
2614,3
2615,2
2616,0
2617,0
2618,1
2619,2
2620,2
2621,2
2622,2
2623,0
2624,1
2625,1
2626,3
2627,3
2628,2
2629,2
2630,2
2631,0
2632,0
2633,0
2634,0
2635,0
2636,0
2637,0
2638,0
2639,1
2640,3
2641,2
2642,2
2643,2
2644,2
2645,2
2646,2
2647,0
2648,2
2649,2
2650,0
2651,0
2652,3
2653,3
2654,2
2655,2
2656,0
2657,0
2658,0
2659,1
2660,2
2661,2
2662,2
2663,0
2664,2
2665,0
2666,0
2667,1
2668,1
2669,1
2670,1
2671,3
2672,0
2673,1
2674,1
2675,1
2676,1
2677,1
2678,2
2679,0
2680,0
2681,0
2682,0
2683,0
2684,0
2685,0
2686,0
2687,1
2688,3
2689,3
2690,3
2691,3
2692,2
2693,0
2694,0
2695,0
2696,0
2697,1
2698,1
2699,1
2700,1
2701,1
2702,1
2703,3
2704,2
2705,2
2706,2
2707,0
2708,0
2709,0
2710,0
2711,0
2712,0
2713,0
2714,0
2715,1
2716,1
2717,3
2718,3
2719,3
2720,3
2721,2
2722,0
2723,0
2724,0
2725,1
2726,2
2727,2
2728,0
2729,0
2730,1
2731,0
2732,3
2733,2
2734,3
2735,0
2736,0
2737,2
2738,2
2739,2
2740,0
2741,0
2742,0
2743,0
2744,0
2745,1
2746,1
2747,1
2748,1
2749,3
2750,3
2751,3
2752,3
2753,3
2754,2
2755,2
2756,2
2757,2
2758,2
2759,1
2760,3
2761,1
2762,2
2763,2
2764,2
2765,2
2766,2
2767,0
2768,0
2769,0
2770,1
2771,1
2772,2
2773,2
2774,2
2775,2
2776,2
2777,0
2778,0
2779,0
2780,0
2781,0
2782,0
2783,0
2784,0
2785,1
2786,1
2787,1
2788,1
2789,3
2790,3
2791,3
2792,3
2793,2
2794,2
2795,2
2796,2
2797,0
2798,0
2799,0
2800,1
2801,0
2802,0
2803,3
2804,3
2805,3
2806,1
2807,0
2808,1
2809,0
2810,0
2811,0
2812,2
2813,0
2814,0
2815,0
2816,0
2817,1
2818,2
2819,0
2820,2
2821,0
2822,0
2823,0
2824,0
2825,0
2826,0
2827,0
2828,1
2829,1
2830,1
2831,3
2832,3
2833,3
2834,3
2835,2
2836,2
2837,3
2838,3
2839,3
2840,1
2841,1
2842,1
2843,1
2844,1
2845,1
2846,1
2847,1
2848,0
2849,0
2850,1
2851,1
2852,3
2853,2
2854,2
2855,0
2856,1
2857,0
2858,0
2859,0
2860,0
2861,0
2862,0
2863,0
2864,0
2865,3
2866,2
2867,0
2868,0
2869,0
2870,2
2871,2
2872,2
2873,2
2874,0
2875,0
2876,0
2877,1
2878,1
2879,1
2880,1
2881,3
2882,3
2883,2
2884,2
2885,3
2886,2
2887,0
2888,0
2889,1
2890,1
2891,1
2892,1
2893,1
2894,0
2895,0
2896,0
2897,1
2898,1
2899,1
2900,3
2901,3
2902,2
2903,2
2904,2
2905,2
2906,0
2907,0
2908,0
2909,0
2910,0
2911,1
2912,1
2913,3
2914,3
2915,3
2916,3
2917,2
2918,2
2919,2
2920,3
2921,3
2922,1
2923,1
2924,1
2925,0
2926,0
2927,0
2928,0
2929,0
2930,0
2931,3
2932,0
2933,0
2934,0
2935,0
2936,1
2937,3
2938,3
2939,2
2940,2
2941,2
2942,2
2943,2
2944,3
2945,1
2946,1
2947,0
2948,1
2949,1
2950,1
2951,0
2952,0
2953,0
2954,0
2955,0
2956,0
2957,0
2958,1
2959,3
2960,3
2961,3
2962,3
2963,2
2964,0
2965,2
2966,2
2967,1
2968,0
2969,0
2970,2
2971,0
2972,0
2973,0
2974,0
2975,1
2976,1
2977,1
2978,1
2979,3
2980,3
2981,2
2982,2
2983,3
2984,3
2985,2
2986,1
2987,1
2988,1
2989,0
2990,1
2991,1
2992,3
2993,3
2994,2
2995,1
2996,3
2997,3
